ranking,name,track
6,Norton,Snetterton Circuit
7,Norton,Spa-Francorchamps
6,Norton,Suzuka
4,Norton,Zandvoort
5,Norton,Zolder
8,Dans,Autodromo Enzo e Dino Ferrari
7,Dans,Barcelona
7,Dans,Brands Hatch
8,Dans,Donington Park
5,Dans,Hungaroring
9,Dans,Kyalami
8,Dans,Laguna Seca
6,Dans,Misano
6,Dans,Monza
9,Dans,Mount Panorama
6,Dans,Nürburgring
6,Dans,Oulton Park
5,Dans,Paul Ricard
8,Dans,Silverstone
6,Dans,Snetterton Circuit
8,Dans,Spa-Francorchamps
7,Dans,Suzuka
5,Dans,Zandvoort
7,Dans,Zolder
10,Mahsoom,Autodromo Enzo e Dino Ferrari
10,Mahsoom,Barcelona
7,Mahsoom,Brands Hatch
4,Mahsoom,Donington Park
5,Mahsoom,Hungaroring
5,Mahsoom,Kyalami
10,Mahsoom,Laguna Seca
7,Mahsoom,Misano
7,Mahsoom,Monza
10,Mahsoom,Mount Panorama
6,Mahsoom,Nürburgring
4,Mahsoom,Oulton Park
8,Mahsoom,Paul Ricard
7,Mahsoom,Silverstone
4,Mahsoom,Snetterton Circuit
9,Mahsoom,Spa-Francorchamps
3,Mahsoom,Suzuka
6,Mahsoom,Zandvoort
10,Mahsoom,Zolder
5,Flickerdox,Autodromo Enzo e Dino Ferrari
6,Flickerdox,Barcelona
4,Flickerdox,Brands Hatch
6,Flickerdox,Donington Park
6,Flickerdox,Hungaroring
9,Flickerdox,Kyalami
7,Flickerdox,Laguna Seca
4,Flickerdox,Misano
6,Flickerdox,Monza
10,Flickerdox,Mount Panorama
5,Flickerdox,Nürburgring
5,Flickerdox,Oulton Park
7,Flickerdox,Paul Ricard
10,Flickerdox,Silverstone
8,Flickerdox,Snetterton Circuit
9,Flickerdox,Spa-Francorchamps
10,Flickerdox,Suzuka
7,Flickerdox,Zandvoort
1,Flickerdox,Zolder
8,BonnetMan,Autodromo Enzo e Dino Ferrari
3,BonnetMan,Barcelona
7,BonnetMan,Brands Hatch
4,BonnetMan,Donington Park
7,BonnetMan,Hungaroring
8,BonnetMan,Kyalami
3,BonnetMan,Laguna Seca
1,BonnetMan,Misano
2,BonnetMan,Monza
9,BonnetMan,Mount Panorama
8,BonnetMan,Nürburgring
5,BonnetMan,Oulton Park
6,BonnetMan,Paul Ricard
9,BonnetMan,Silverstone
2,BonnetMan,Snetterton Circuit
10,BonnetMan,Spa-Francorchamps
9,BonnetMan,Suzuka
10,BonnetMan,Zandvoort
1,BonnetMan,Zolder
10,Arken,Autodromo Enzo e Dino Ferrari
4,Arken,Barcelona
6,Arken,Brands Hatch
8,Arken,Donington Park
5,Arken,Hungaroring
9,Arken,Kyalami
4,Arken,Laguna Seca
7,Arken,Misano
2,Arken,Monza
10,Arken,Mount Panorama
10,Arken,Nürburgring
4,Arken,Oulton Park
8,Arken,Paul Ricard
9,Arken,Silverstone
1,Arken,Snetterton Circuit
7,Arken,Spa-Francorchamps
6,Arken,Suzuka
5,Arken,Zandvoort
2,Arken,Zolder
8,Alex Rodgers,Autodromo Enzo e Dino Ferrari
6,Alex Rodgers,Barcelona
7,Alex Rodgers,Brands Hatch
7,Alex Rodgers,Donington Park
4,Alex Rodgers,Hungaroring
10,Alex Rodgers,Kyalami
6,Alex Rodgers,Laguna Seca
3,Alex Rodgers,Misano
6,Alex Rodgers,Monza
9,Alex Rodgers,Mount Panorama
6,Alex Rodgers,Nürburgring
5,Alex Rodgers,Oulton Park
8,Alex Rodgers,Paul Ricard
9,Alex Rodgers,Silverstone
4,Alex Rodgers,Snetterton Circuit
10,Alex Rodgers,Spa-Francorchamps
6,Alex Rodgers,Suzuka
2,Alex Rodgers,Zandvoort
3,Alex Rodgers,Zolder
7,Harley,Autodromo Enzo e Dino Ferrari
6,Harley,Barcelona
5,Harley,Brands Hatch
8,Harley,Donington Park
5,Harley,Hungaroring
8,Harley,Kyalami
6,Harley,Laguna Seca
3,Harley,Misano
5,Harley,Monza
10,Harley,Mount Panorama
7,Harley,Nürburgring
8,Harley,Oulton Park
5,Harley,Paul Ricard
9,Harley,Silverstone
9,Harley,Snetterton Circuit
6,Harley,Spa-Francorchamps
8,Harley,Suzuka
6,Harley,Zandvoort
3,Harley,Zolder
