time in seconds,driver
105.34,Kylo Stint 4
105.44,Kylo Stint 4
105.23,Kylo Stint 4
105.78,Kylo Stint 4
105.73,Kylo Stint 4
105.43,Kylo Stint 4


105.24,Schubert Stint 3
105.09,Schubert Stint 3
104.69,Schubert Stint 3
105.07,Schubert Stint 3
104.74,Schubert Stint 3
105.27,Schubert Stint 3
104.9,Schubert Stint 3
105.19,Schubert Stint 3
104.95,Schubert Stint 3
104.7,Schubert Stint 3
104.94,Schubert Stint 3
105.19,Schubert Stint 3
105.06,Schubert Stint 3
105.29,Schubert Stint 3
105.09,Schubert Stint 3
105.36,Schubert Stint 3
105.36,Schubert Stint 3
105.32,Schubert Stint 3
105.53,Schubert Stint 3
105.71,Schubert Stint 3
105.48,Schubert Stint 3
105.37,Schubert Stint 3
105.38,Schubert Stint 3
105.41,Schubert Stint 3
105.17,Schubert Stint 3
105.41,Schubert Stint 3
105.38,Schubert Stint 3
105,Schubert Stint 3
105.3,Schubert Stint 3
105.28,Schubert Stint 3
105.12,Schubert Stint 3
105.51,Schubert Stint 3
105.3,Schubert Stint 3
105.4,Schubert Stint 3
105.32,Schubert Stint 3


105,Kylo Stint 5
105.74,Kylo Stint 5
105.73,Kylo Stint 5
105.39,Kylo Stint 5
105.2,Kylo Stint 5
105.18,Kylo Stint 5
105.26,Kylo Stint 5
105.24,Kylo Stint 5
105.74,Kylo Stint 5
105.2,Kylo Stint 5
105.75,Kylo Stint 5
105.63,Kylo Stint 5
106.08,Kylo Stint 5
105.42,Kylo Stint 5
105.86,Kylo Stint 5
105.85,Kylo Stint 5
106.03,Kylo Stint 5
105.89,Kylo Stint 5
106.49,Kylo Stint 5
105.71,Kylo Stint 5
105.63,Kylo Stint 5
105.52,Kylo Stint 5
106.04,Kylo Stint 5
105.68,Kylo Stint 5
105.71,Kylo Stint 5
105.66,Kylo Stint 5
106.04,Kylo Stint 5
105.99,Kylo Stint 5
106.23,Kylo Stint 5
105.73,Kylo Stint 5
106.5,Kylo Stint 5
106.01,Kylo Stint 5
106.07,Kylo Stint 5
105.95,Kylo Stint 5


105.93,Kylo Stint 6
105.38,Kylo Stint 6
106.69,Kylo Stint 6
